"","�Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","DPMean","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","AIPMean","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","GPMean","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SWLSMean","OthersLabel","DPMean.1"
"1",67.5,"Male","1","ma","retired",25000,"","9",0,"Large-City","El Salvador","Divorced","0",5,3,1,1,1,1,1.4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1.4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,1.6,5,5,5,5,5,5,"no",1.4
"2",45,"Male","1","deg","part-time",35000,"","0",0,"Village","Bolivia","Married","1",1,3,4,3,3,3,3.2,3,1,4,3,3,4,3,3,3,3,4,2,2,2,4,2.93,4,2,2,2,2,2,4,2,4,2,3,4,2,2,3,4,3,3,4,4,2.9,3,4,4,4,3,3.6,"yes",3.2
"3",19,"Female","0","dip","student",NA,"","0",0,"Large Town","Cyprus","Single","0",0,5,5,2,3,3,3.6,5,4,4,5,5,5,5,4,5,5,4,3,5,4,3,4.4,5,2,2,4,3,1,3,2,5,4,5,5,3,4,5,2,3,5,5,4,3.6,2,2,2,3,4,2.6,"yes",3.6
"4",37.5,"Male","1","ma","full-time",45000,"","14",0,"Large Town","Czech Republic","Married","0",1,3,3,3,3,3,3,2,1,4,3,5,3,4,5,4,5,4,3,4,2,1,3.33,4,1,3,3,2,3,4,5,4,1,3,4,3,3,4,4,3,4,5,1,3.2,2,4,2,2,2,2.4,"yes",3
"5",28,"Female","0","deg","full-time",35000,"","1",0,"Village","Czech Republic","Single","0",0,3,3,2,1,1,2,1,1,3,3,2,2,2,2,1,1,2,1,2,1,2,1.73,4,1,2,4,5,2,4,2,4,1,2,3,2,4,3,2,3,2,3,4,2.85,4,4,4,3,4,3.8,"no",2
"6",23,"Female","0","deg","full-time",15000,"","1",0,"Small Town","Czech Republic","Single","0",0,3,4,3,2,2,2.8,2,5,5,5,5,3,5,4,4,5,3,5,4,5,5,4.33,5,5,2,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,2,4,4,3,3.2,"yes",2.8
"7",67.5,"Female","0","ma","part-time",NA,"","8",0,"Large Town","Morocco","Divorced","0",0,3,4,3,2,2,2.8,3,1,1,2,3,3,1,4,5,5,3,2,3,1,4,2.73,4,1,1,1,1,2,3,2,4,1,4,2,3,2,4,3,1,4,4,2,2.45,3,4,3,3,2,3,"yes",2.8
"8",37.5,"Male","0","grade","part-time",10000,"",NA,0,"Village","Ukraine","Single","0",0,4,3,4,4,3,3.6,4,4,4,4,4,2,5,2,4,3,2,4,3,4,5,3.6,5,1,3,4,3,3,4,3,4,4,3,5,2,2,4,4,3,4,4,4,3.45,3,3,3,2,3,2.8,"yes",3.6
"9",24,"Female","0","ma","full-time",250000,"","2",0,"Village","Ukraine","Single","0",0,2,2,4,4,4,3.2,3,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3.13,3,4,3,4,2,2,4,2,4,1,5,2,3,2,1,5,5,1,1,3,2.85,4,4,5,4,4,4.2,"no",3.2
"10",45,"Male","1","ma","full-time",87500,"","14",0,"Village","Qatar","Married","2",0,5,5,5,5,5,5,3,3,5,3,5,1,5,5,5,5,4,4,4,4,5,4.07,5,3,3,1,5,5,5,4,5,3,5,5,4,4,4,5,3,5,5,5,4.2,1,4,2,4,1,2.4,"yes",5
