CntryOfRes,Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean,HDI,hdi_group
Afghanistan,55,Male,1,ma,full-time,15e4,NA,0,0,Large Town,Married,4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,1,1,3.6,3.87,3.7,2.4,0.479,low
Afghanistan,80,Female,0,grade,unemployed,1e4,NA,0,0,Medium-Sized,Single,0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,1,0,3,2.73,3.2,2.8,0.479,low
Afghanistan,55,Female,1,deg,full-time,1e4,NA,7,0,Village,Divorced,4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,0,1,3.2,3.07,2.8,1.4,0.479,low
Afghanistan,55,Male,0,deg,full-time,87500,NA,0,6,Large Town,Married,0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,1,0,3.2,2.67,3.2,2.4,0.479,low
Albania,67.5,Male,1,deg,part-time,87500,Media Consultant,4,0,Large-City,Divorced,0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,1,0,2.4,2.4,3,3.8,0.764,high
Albania,45,Female,0,ltuni,full-time,15e4,NA,0,0,Large Town,Single,0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,1,0,3.4,2.07,3.9,3,0.764,high
Algeria,37.5,Female,0,deg,full-time,67500,NA,9,6,Village,Married,0,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,1,0,4.4,2.87,3.4,4.2,0.745,high
Algeria,55,Female,1,dip,full-time,55e3,Assoc. Governmental Program Analyst,28,0,Large-City,Married,0,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,1,0,1.6,2.13,2.35,3.8,0.745,high
Algeria,45,Male,1,ma,full-time,35e3,NA,10,0,Village,Married,0,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,1,1,4.2,2.87,3.4,3.6,0.745,high
Andorra,80,Male,0,ma,retired,45e3,retired,17,0,Medium-Sized,Single,0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,0,0,1.4,1.47,2.05,4,0.858,very high
