Occupation,n
NA,2514
Education,151
Software & IT,65
Attorney,62
Writer,45
Healthcare,33
engineer,31
manager,31
Science,29
retired,27
Student,24
Editor,21
Marketing,20
Unemployed,18
houswife,16
Sales,14
Accountant,13
consultant,12
Financial Advisor,11
home maker,11
Administrator,10
Graphic Designer,10
Server,10
Artist,9
Customer Service,9
director,9
Librarian,9
Administrative Assistant,8
Research Assistant,8
Business Owner,7
President,7
psychologis,7
Social Worker,7
Journalist,6
Project Manager,6
Translator,6
clerk,5
Finance,5
Graduate Assistant,5
Market Analyst,5
Pastor ; Life coach  clergy,5
Tutor,5
Analyst,4
Architect,4
Nanny,4
operations manager,4
project manager,4
Research Associate,4
Retail,4
RN,4
secretary,4
Web Designer,4
Bank Teller,3
ceo,3
Computer Consultant,3
Deputy Director,3
Human Resource Manager,3
Insurance Agent,3
law enforcement,3
Legal Assistant,3
Musician,3
na,3
psychotherapist,3
Receptionist,3
Academic Assistant,2
Art Director,2
associate,2
banker,2
Chief of Staff,2
"Clutter clearer,  video editor, caterer",2
Communications,2
Consumer Case Coordinator,2
Creative Director,2
dentist,2
designer,2
Designer,2
Diplomat,2
Driver,2
Executive Assistant,2
Executive Director,2
Graduate Research Assistant,2
Information Technology Consultant,2
Insurance,2
Internship,2
journalist (freelance),2
laboratory technician,2
lecturer,2
letter carrier,2
Library technician,2
Market Research Analyst,2
Network Engineer,2
Owner,2
Paralegal,2
Paraprofessional,2
Pharmacist,2
policy analyst,2
Postdoc,2
Press Officer,2
researcher,2
Self Employed,2
self-employed Photographer,2
stocker,2
Supervisor,2
veterinarian,2
vice-president,2
Academic,1
acounting analyst,1
Activities Leader,1
Actress,1
acupuncturist,1
Administrative Asistant for Jewelry Stor,1
Administrative Officer,1
advocate,1
Agronomist,1
airline,1
airport ground handler,1
analyst,1
Antique Dealer,1
Assistant,1
Assoc. Governmental Program Analyst,1
Associate / investment banking,1
associate at law firm,1
Associate Director,1
Associate director/ marketing communicat,1
Associate Producer,1
asst,1
Asst. Prof.,1
Astrohysicist,1
audio engineer,1
Aviation Specialist,1
Bar & Restaurant Owner,1
Bartender,1
bookkeeper,1
bookkeeper/ actor,1
bookseller,1
Box Office Representative,1
Braillist,1
Budget analyst,1
business,1
Business / Test Analyst,1
BUSINESS CONSULTA,1
business consultant,1
business manager,1
businesswoman,1
buyer,1
C E O/ M D,1
CAD operator,1
CAD Technician,1
Camera Coordinator,1
Campus Planner,1
Capstone Golf Course,1
Career Placement Associate,1
Case Manager,1
Casting Director,1
cataloguer /  freelance artist,1
chairman of the board,1
chauffeur,1
Chief Financial Officer,1
Chiefe Development Engineer,1
chiropractor,1
civil servant,1
Civil servant,1
Client Relationship Assistant,1
Co-Proprietor,1
Collection management specialist,1
College Administrator,1
Communications & Publishing,1
company director,1
Computer Instructor (Continuing Educatio,1
Computer Operator,1
Computer Science,1
Computers,1
Consultant and entrepreneur (small busin,1
Consulting Manager,1
Controller,1
Contsuruction Management,1
Coordinator of International Programs,1
coordinatore operativo,1
copy supervisor,1
Corporate instructor,1
Corporate Trainer,1
Corporation President,1
Corrections,1
Country Style Employee,1
Creative Consultant,1
CRNA,1
Data Warehouse Engineer,1
Dealer,1
Dental & Disability Coordinator,1
Dept. Director (Non-profit),1
Deputy Chief of Public Information for t,1
Deputy Chieif Information Officer,1
deputy practice manager,1
detail checker,1
Dietitian,1
Director / information technology,1
Director of a language program,1
Director of Academic Affairs,1
