"CntryOfRes","CntryMeanGP","HDI","hdi_group"
"Poland",3.79,0.855,"very high"
"Puerto Rico",4.28333333333333,NA,NA
"Qatar",4.2,0.856,"very high"
"Turkey",3.75555555555556,0.767,"high"
"Slovenia",3.66666666666667,0.89,"very high"
"Malaysia",3.6875,0.789,"high"
"Iceland",3.65,0.921,"very high"
"Panama",3.95,0.788,"high"
"Uruguay",3.66666666666667,0.795,"high"
"Ecuador",3.71666666666667,0.739,"high"
"France",3.69230769230769,0.897,"very high"
"Sri Lanka",3.85,0.766,"high"
"Myanmar",3.85,0.556,"medium"
"Austria",3.76666666666667,0.893,"very high"
"Portugal",3.65,0.843,"very high"
"Taiwan",4.8,NA,NA
